branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S324,SP,OPS,C000000011,S000000017, , ,13100008,January 01-31 2019,932,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100237,January 01-31 2019,1398,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100308,January 01-31 2019,2796,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100904,January 01-31 2019,932,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100940,January 01-31 2019,932,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100983,January 01-31 2019,2796,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101107,January 01-31 2019,932,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13300510,January 01-31 2019,932,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100006,January 01-31 2019,1648.475,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100107,January 01-31 2019,2271.75,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100114,January 01-31 2019,1223.25,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100167,January 01-31 2019,17.475,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100254,January 01-31 2019,366.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100289,January 01-31 2019,1007.725,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100292,January 01-31 2019,1357.225,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100340,January 01-31 2019,990.25,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100418,January 01-31 2019,757.25,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100421,January 01-31 2019,2330,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100732,January 01-31 2019,308.725,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100782,January 01-31 2019,1764.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100789,January 01-31 2019,1805.75,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100880,January 01-31 2019,407.75,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100918,January 01-31 2019,133.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101072,January 01-31 2019,541.725,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101087,January 01-31 2019,58.25,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101104,January 01-31 2019,174.75,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101115,January 01-31 2019,832.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101118,January 01-31 2019,1124.225,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101150,January 01-31 2019,1124.225,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13200002,January 01-31 2019,832.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100399,January 01-31 2019,541.725,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100696,January 01-31 2019,308.725,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100843,January 01-31 2019,2056.225,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100844,January 01-31 2019,3628.975,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100013,January 01-31 2019,233,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100015,January 01-31 2019,233,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100177,January 01-31 2019,33.49375,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100256,January 01-31 2019,33.49375,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100363,January 01-31 2019,33.49375,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100313,January 01-31 2019,33.49375,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13100181,January 01-31 2019,5592,2,for the month of January 01-31 2019
S324,SP,OPS,C000000011,S000000017, , ,13101010,January 01-31 2019,5592,2,for the month of January 01-31 2019
