branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S323,SP,OPS,C000000011,S000000017, , ,13100124,September 01-30 2019,932,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100138,September 01-30 2019,3728,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100209,September 01-30 2019,1398,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100308,September 01-30 2019,2796,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100782,September 01-30 2019,5592,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100843,September 01-30 2019,2796,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101015,September 01-30 2019,932,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101111,September 01-30 2019,932,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101115,September 01-30 2019,3728,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101166,September 01-30 2019,3728,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13300143,September 01-30 2019,1398,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13300510,September 01-30 2019,932,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100013,September 01-30 2019,2796,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100015,September 01-30 2019,3961,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100112,September 01-30 2019,774.725,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100114,September 01-30 2019,1048.5,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100204,September 01-30 2019,891.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100254,September 01-30 2019,891.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100265,September 01-30 2019,5009.5,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100313,September 01-30 2019,2289.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100315,September 01-30 2019,3902.75,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100340,September 01-30 2019,932,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100399,September 01-30 2019,949.475,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100696,September 01-30 2019,1881.475,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100728,September 01-30 2019,640.75,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100850,September 01-30 2019,599.975,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100923,September 01-30 2019,891.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101033,September 01-30 2019,17.475,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101069,September 01-30 2019,2056.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101072,September 01-30 2019,873.75,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101118,September 01-30 2019,774.725,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13300309,September 01-30 2019,891.225,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100844,September 01-30 2019,599.975,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100237,September 01-30 2019,763.075,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101104,September 01-30 2019,763.075,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100095,September 01-30 2019,763.075,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100978,September 01-30 2019,329.1125,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101152,September 01-30 2019,329.1125,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13100904,September 01-30 2019,3262,2,for the month of September 01-30 2019
S323,SP,OPS,C000000011,S000000017, , ,13101010,September 01-30 2019,3262,2,for the month of September 01-30 2019
