branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S342","SP","OPS","C000000011","S000000017"," "," ","13100013","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100046","January 01-31 2016",2563.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100073","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100095","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100120","January 01-31 2016",2446.500000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100167","January 01-31 2016",58.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100191","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100195","January 01-31 2016",233.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100240","January 01-31 2016",116.500000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100254","January 01-31 2016",1864.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100265","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100308","January 01-31 2016",1572.750000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100323","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100340","January 01-31 2016",990.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100408","January 01-31 2016",233.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100412","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100421","January 01-31 2016",1631.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100529","January 01-31 2016",4660.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100696","January 01-31 2016",757.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100703","January 01-31 2016",2796.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100728","January 01-31 2016",466.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100782","January 01-31 2016",524.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100789","January 01-31 2016",3786.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100856","January 01-31 2016",873.750000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100918","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100923","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100981","January 01-31 2016",4194.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100982","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101001","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101060","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101072","January 01-31 2016",5592.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13200002","January 01-31 2016",1223.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100418","January 01-31 2016",308.725000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100264","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100755","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100976","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100204","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100407","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100436","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100731","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100925","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101078","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101079","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101081","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100732","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101000","January 01-31 2016",1398.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100292","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13300251","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100006","January 01-31 2016",1776.625000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100913","January 01-31 2016",1776.625000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100215","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100904","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101077","January 01-31 2016",932.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100983","January 01-31 2016",524.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100984","January 01-31 2016",524.250000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100337","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13100748","January 01-31 2016",699.000000,2,"for the month of January 01-31 2016"
"S342","SP","OPS","C000000011","S000000017"," "," ","13101015","January 01-31 2016",611.625000,2,"for the month of January 01-31 2016"
