branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S339","SP","OPS","C000000011","S000000017"," "," ","13100006","December 01-31 2018",5592.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100008","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100027","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100073","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100104","December 01-31 2018",2796.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100124","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100237","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100308","December 01-31 2018",2796.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100315","December 01-31 2018",5592.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100348","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100366","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100370","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100404","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100536","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100706","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100800","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100904","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100923","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100940","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100982","December 01-31 2018",1864.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101054","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13101111","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13300051","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13300309","December 01-31 2018",1398.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13300510","December 01-31 2018",932.000000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100114","December 01-31 2018",3046.475000,2,"for the month of December 01-31 2018"
"S339","SP","OPS","C000000011","S000000017"," "," ","13100138","December 01-31 2018",4852.225000,2,"for the month of December 01-31 2018"
