branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S325","SP","OPS","C000000011","S000000017"," "," ","13100013","July 01-31 2013",1800.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100095","July 01-31 2013",900.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100190","July 01-31 2013",1800.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100204","July 01-31 2013",1200.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100308","July 01-31 2013",75.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100323","July 01-31 2013",600.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100408","July 01-31 2013",900.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100421","July 01-31 2013",3300.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100529","July 01-31 2013",600.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100728","July 01-31 2013",900.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100732","July 01-31 2013",450.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100990","July 01-31 2013",600.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101000","July 01-31 2013",525.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101001","July 01-31 2013",75.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13300298","July 01-31 2013",600.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100015","July 01-31 2013",37.500000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100046","July 01-31 2013",123.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100073","July 01-31 2013",337.500000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100237","July 01-31 2013",75.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100754","July 01-31 2013",286.875000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100755","July 01-31 2013",286.875000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13300251","July 01-31 2013",61.875000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100292","July 01-31 2013",61.875000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100412","July 01-31 2013",450.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13101019","July 01-31 2013",450.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100913","July 01-31 2013",318.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100006","July 01-31 2013",318.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100232","July 01-31 2013",53.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100316","July 01-31 2013",53.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100254","July 01-31 2013",53.750000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100200","July 01-31 2013",375.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100880","July 01-31 2013",375.000000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100918","July 01-31 2013",211.875000,2,"for the month of July 01-31 2013"
"S325","SP","OPS","C000000011","S000000017"," "," ","13100923","July 01-31 2013",211.875000,2,"for the month of July 01-31 2013"
