branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S322","SP","OPS","C000000011","S000000017"," "," ","13100008","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100046","August 01-31 2016",2097.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100062","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100068","August 01-31 2016",2796.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100072","August 01-31 2016",466.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100104","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100190","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100191","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100370","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100421","August 01-31 2016",1398.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100748","August 01-31 2016",699.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100856","August 01-31 2016",3728.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100923","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100940","August 01-31 2016",2796.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100999","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101060","August 01-31 2016",932.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13300510","August 01-31 2016",699.000000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100264","August 01-31 2016",2463.975000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13200002","August 01-31 2016",483.475000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13300143","August 01-31 2016",425.225000,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100204","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100407","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100731","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101078","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101096","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101081","August 01-31 2016",342.704167,2,"for the month of August 01-31 2016"
