branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S313,SP,OPS,C000000011,S000000017, , ,13100046,August 01-31 2017,2796,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100124,August 01-31 2017,1398,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100209,August 01-31 2017,1398,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100923,August 01-31 2017,1398,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100999,August 01-31 2017,932,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13300309,August 01-31 2017,2796,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13300510,August 01-31 2017,932,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100782,August 01-31 2017,640.75,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100789,August 01-31 2017,250.475,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100981,August 01-31 2017,233,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100204,August 01-31 2017,1864,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100731,August 01-31 2017,1864,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13101001,August 01-31 2017,1242.666667,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13101033,August 01-31 2017,1242.666667,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13101110,August 01-31 2017,1242.666667,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100058,August 01-31 2017,1398,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100107,August 01-31 2017,1398,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100042,August 01-31 2017,559.2,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100141,August 01-31 2017,559.2,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13100968,August 01-31 2017,559.2,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13101009,August 01-31 2017,559.2,2,for the month of August 01-31 2017
S313,SP,OPS,C000000011,S000000017, , ,13101095,August 01-31 2017,559.2,2,for the month of August 01-31 2017
