branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S355,SP,OPS,C000000011,S000000017, , ,13100006,June 01-30 2019,2796,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100095,June 01-30 2019,932,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100237,June 01-30 2019,1398,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100308,June 01-30 2019,2796,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101111,June 01-30 2019,932,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13300510,June 01-30 2019,932,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100107,June 01-30 2019,3203.75,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100112,June 01-30 2019,599.975,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100114,June 01-30 2019,1939.725,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100120,June 01-30 2019,2580.475,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100138,June 01-30 2019,2405.725,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100181,June 01-30 2019,599.975,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100204,June 01-30 2019,3436.75,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100313,June 01-30 2019,774.725,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100421,June 01-30 2019,349.5,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100703,June 01-30 2019,2056.225,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100728,June 01-30 2019,640.75,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100789,June 01-30 2019,541.725,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100850,June 01-30 2019,250.475,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101069,June 01-30 2019,1065.975,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101072,June 01-30 2019,233,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101095,June 01-30 2019,58.25,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101104,June 01-30 2019,174.75,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101115,June 01-30 2019,366.975,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101152,June 01-30 2019,407.75,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13101166,June 01-30 2019,425.225,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13200002,June 01-30 2019,308.725,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100292,June 01-30 2019,815.5,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100844,June 01-30 2019,3687.225,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100702,June 01-30 2019,1213.05625,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100861,June 01-30 2019,1213.05625,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100405,June 01-30 2019,1213.05625,2,for the month of June 01-30 2019
S355,SP,OPS,C000000011,S000000017, , ,13100405,June 01-30 2019,1213.05625,2,for the month of June 01-30 2019
