branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S327","SP","OPS","C000000011","S000000017"," "," ","13100072","November 01-30 2014",932.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100237","November 01-30 2014",1398.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100421","November 01-30 2014",1631.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100703","November 01-30 2014",2796.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13101054","November 01-30 2014",932.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13300298","November 01-30 2014",466.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100120","November 01-30 2014",699.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100264","November 01-30 2014",58.250000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100323","November 01-30 2014",425.225000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100856","November 01-30 2014",466.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13101058","November 01-30 2014",5126.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13300251","November 01-30 2014",66.987500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100292","November 01-30 2014",66.987500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100337","November 01-30 2014",699.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100748","November 01-30 2014",699.000000,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100888","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100889","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100891","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100893","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100894","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100896","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100897","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100898","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100899","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
"S327","SP","OPS","C000000011","S000000017"," "," ","13100890","November 01-30 2014",135.722500,2,"for the month of November 01-30 2014"
