branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100120","March 01-31 2020",5592.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100181","March 01-31 2020",5592.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100240","March 01-31 2020",582.500000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100254","March 01-31 2020",1864.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100265","March 01-31 2020",5592.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100308","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100340","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100421","March 01-31 2020",1398.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100696","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100728","March 01-31 2020",1398.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100789","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100843","March 01-31 2020",4194.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100940","March 01-31 2020",932.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101069","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101092","March 01-31 2020",4194.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101107","March 01-31 2020",932.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101115","March 01-31 2020",2796.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101118","March 01-31 2020",1864.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101166","March 01-31 2020",1398.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13300309","March 01-31 2020",699.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13300510","March 01-31 2020",932.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100008","March 01-31 2020",192.225000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100114","March 01-31 2020",2737.750000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100289","March 01-31 2020",1339.750000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100292","March 01-31 2020",17.475000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100315","March 01-31 2020",192.225000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100399","March 01-31 2020",1747.500000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100782","March 01-31 2020",1165.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100844","March 01-31 2020",774.725000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100923","March 01-31 2020",192.225000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101072","March 01-31 2020",873.750000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101110","March 01-31 2020",1165.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13101163","March 01-31 2020",233.000000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13200002","March 01-31 2020",658.225000,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100405","March 01-31 2020",38.833333,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100702","March 01-31 2020",38.833333,2,"for the month of March 01-31 2020"
"S324","SP","OPS","C000000011","S000000017"," "," ","","13100861","March 01-31 2020",38.833333,2,"for the month of March 01-31 2020"
