branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S333","SP","OPS","C000000011","S000000017"," "," ","13100013","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100104","May 01-31 2018",1398.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100308","May 01-31 2018",2796.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100323","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100370","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100421","May 01-31 2018",2796.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100904","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100940","May 01-31 2018",699.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100982","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13101104","May 01-31 2018",5592.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13101118","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13300510","May 01-31 2018",932.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100046","May 01-31 2018",716.475000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100138","May 01-31 2018",1648.475000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100229","May 01-31 2018",640.750000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100237","May 01-31 2018",425.225000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100340","May 01-31 2018",1631.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100399","May 01-31 2018",1339.750000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100703","May 01-31 2018",2056.225000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100732","May 01-31 2018",233.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100789","May 01-31 2018",425.225000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100843","May 01-31 2018",116.500000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100918","May 01-31 2018",699.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100923","May 01-31 2018",233.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100983","May 01-31 2018",17.475000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13101115","May 01-31 2018",1648.475000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13300143","May 01-31 2018",366.975000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100095","May 01-31 2018",192.225000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100265","May 01-31 2018",4543.500000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100292","May 01-31 2018",2097.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100850","May 01-31 2018",1398.000000,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100204","May 01-31 2018",678.612500,2,"for the month of May 01-31 2018"
"S333","SP","OPS","C000000011","S000000017"," "," ","13100731","May 01-31 2018",678.612500,2,"for the month of May 01-31 2018"
