branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S322","SP","OPS","C000000011","S000000017"," "," ","13100062","December 01-31 2015",1398.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100072","December 01-31 2015",699.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100366","December 01-31 2015",1398.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100856","December 01-31 2015",5126.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100880","December 01-31 2015",699.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100940","December 01-31 2015",1631.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100980","December 01-31 2015",2796.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100981","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100999","December 01-31 2015",932.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101060","December 01-31 2015",932.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13300007","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100073","December 01-31 2015",116.500000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100308","December 01-31 2015",640.750000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100923","December 01-31 2015",291.250000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100204","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100407","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100436","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100731","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100925","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101078","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101079","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101081","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100779","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100780","December 01-31 2015",466.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100114","December 01-31 2015",310.666667,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100668","December 01-31 2015",310.666667,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101084","December 01-31 2015",310.666667,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100215","December 01-31 2015",932.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100904","December 01-31 2015",932.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101077","December 01-31 2015",932.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100337","December 01-31 2015",699.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100748","December 01-31 2015",699.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100042","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100141","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13100968","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
"S322","SP","OPS","C000000011","S000000017"," "," ","13101009","December 01-31 2015",233.000000,2,"for the month of December 01-31 2015"
