branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S340","SP","OPS","C000000011","S000000017"," "," ","13100013","March 01-31 2014",2796.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100015","March 01-31 2014",5592.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100095","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100167","March 01-31 2014",407.750000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100190","March 01-31 2014",2796.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100200","March 01-31 2014",1572.750000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100265","March 01-31 2014",1048.500000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100323","March 01-31 2014",1398.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100399","March 01-31 2014",2796.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100412","March 01-31 2014",1398.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100421","March 01-31 2014",5592.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100728","March 01-31 2014",1398.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100782","March 01-31 2014",3145.500000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100856","March 01-31 2014",2796.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100927","March 01-31 2014",1165.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100991","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13101001","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13101023","March 01-31 2014",1398.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100046","March 01-31 2014",1572.750000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100073","March 01-31 2014",192.225000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100195","March 01-31 2014",233.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100289","March 01-31 2014",2114.475000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13300143","March 01-31 2014",349.500000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100754","March 01-31 2014",116.500000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100755","March 01-31 2014",116.500000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100191","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100204","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100407","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100731","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100925","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13101013","March 01-31 2014",932.000000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100006","March 01-31 2014",1456.250000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100913","March 01-31 2014",1456.250000,2,"for the month of March 01-31 2014"
"S340","SP","OPS","C000000011","S000000017"," "," ","13100303","March 01-31 2014",621.333333,2,"for the month of March 01-31 2014"
