branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S342,SP,OPS,C000000011,S000000017, , ,13100204,September 01-30 2018,2796,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100237,September 01-30 2018,1398,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100308,September 01-30 2018,2796,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100323,September 01-30 2018,932,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100421,September 01-30 2018,2796,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100918,September 01-30 2018,932,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100976,September 01-30 2018,2796,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13101118,September 01-30 2018,932,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100006,September 01-30 2018,1339.75,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100114,September 01-30 2018,1165,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100120,September 01-30 2018,308.725,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100167,September 01-30 2018,1165,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100254,September 01-30 2018,133.975,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100289,September 01-30 2018,1764.975,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100292,September 01-30 2018,1590.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100315,September 01-30 2018,1048.5,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100340,September 01-30 2018,233,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100703,September 01-30 2018,1106.75,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100782,September 01-30 2018,2056.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100789,September 01-30 2018,2463.975,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100843,September 01-30 2018,192.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100983,September 01-30 2018,5376.475,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13101095,September 01-30 2018,1106.75,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13101110,September 01-30 2018,699,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13101119,September 01-30 2018,658.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13200002,September 01-30 2018,891.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100732,September 01-30 2018,1823.225,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100981,September 01-30 2018,2504.75,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100177,September 01-30 2018,221.35,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100256,September 01-30 2018,221.35,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100313,September 01-30 2018,221.35,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100363,September 01-30 2018,221.35,2,for the month of September 01-30 2018
S342,SP,OPS,C000000011,S000000017, , ,13100363,September 01-30 2018,221.35,2,for the month of September 01-30 2018
