branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S315","SP","OPS","C000000011","S000000017"," "," ","13100046","November 01-30 2016",233.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100195","November 01-30 2016",233.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100237","November 01-30 2016",1398.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100240","November 01-30 2016",116.500000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100254","November 01-30 2016",2796.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100323","November 01-30 2016",932.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100340","November 01-30 2016",1165.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100366","November 01-30 2016",1398.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100423","November 01-30 2016",233.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100703","November 01-30 2016",2097.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100728","November 01-30 2016",1398.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100843","November 01-30 2016",1398.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100918","November 01-30 2016",233.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100940","November 01-30 2016",1398.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13101001","November 01-30 2016",932.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13101060","November 01-30 2016",932.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13101069","November 01-30 2016",5592.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13101104","November 01-30 2016",990.250000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13300309","November 01-30 2016",3728.000000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100120","November 01-30 2016",116.500000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100191","November 01-30 2016",407.750000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100782","November 01-30 2016",192.225000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100844","November 01-30 2016",1223.250000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100981","November 01-30 2016",2580.475000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13300181","November 01-30 2016",17.475000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100204","November 01-30 2016",559.200000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100407","November 01-30 2016",559.200000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13100731","November 01-30 2016",559.200000,2,"for the month of November 01-30 2016"
"S315","SP","OPS","C000000011","S000000017"," "," ","13101078","November 01-30 2016",559.200000,2,"for the month of November 01-30 2016"
