branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
"S332","SP","OPS","C000000011","S000000017"," "," ","13100237","June 01-30 2018",1398.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100254","June 01-30 2018",1864.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100308","June 01-30 2018",2796.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100923","June 01-30 2018",1398.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13101104","June 01-30 2018",1398.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100046","June 01-30 2018",640.750000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100107","June 01-30 2018",425.225000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100240","June 01-30 2018",133.975000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100292","June 01-30 2018",366.975000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100850","June 01-30 2018",1689.250000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100902","June 01-30 2018",192.225000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13101087","June 01-30 2018",349.500000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13101111","June 01-30 2018",466.000000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100006","June 01-30 2018",1572.750000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100138","June 01-30 2018",1939.725000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100265","June 01-30 2018",5184.250000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100418","June 01-30 2018",1997.975000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100177","June 01-30 2018",745.600000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100256","June 01-30 2018",745.600000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100313","June 01-30 2018",745.600000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100363","June 01-30 2018",745.600000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100363","June 01-30 2018",745.600000,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13101010","June 01-30 2018",8.737500,2,"for the month of June 01-30 2018"
"S332","SP","OPS","C000000011","S000000017"," "," ","13100181","June 01-30 2018",8.737500,2,"for the month of June 01-30 2018"
