branch,division,dept,category,subcat,displaya,buyerid,itmdept,supplier_code,period,amount,paymentid,remarks
S340,SP,OPS,C000000011,S000000017, , ,,13100104,December 01-31 2019,1398,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100240,December 01-31 2019,582.5,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100308,December 01-31 2019,2796,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100800,December 01-31 2019,1398,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100843,December 01-31 2019,5592,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100919,December 01-31 2019,932,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100923,December 01-31 2019,1398,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101092,December 01-31 2019,4194,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101110,December 01-31 2019,3728,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101118,December 01-31 2019,2796,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13300510,December 01-31 2019,932,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100006,December 01-31 2019,58.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100073,December 01-31 2019,75.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100114,December 01-31 2019,4735.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100138,December 01-31 2019,2522.225,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100204,December 01-31 2019,2871.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100229,December 01-31 2019,174.75,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100289,December 01-31 2019,58.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100313,December 01-31 2019,75.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100315,December 01-31 2019,2114.475,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100421,December 01-31 2019,250.475,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100706,December 01-31 2019,407.75,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100728,December 01-31 2019,1240.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100782,December 01-31 2019,1706.725,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100789,December 01-31 2019,757.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100940,December 01-31 2019,832.975,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101033,December 01-31 2019,990.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101069,December 01-31 2019,873.75,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101072,December 01-31 2019,58.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101087,December 01-31 2019,2271.75,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101115,December 01-31 2019,757.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101150,December 01-31 2019,1922.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101166,December 01-31 2019,3279.475,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13300051,December 01-31 2019,58.25,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100013,December 01-31 2019,1514.5,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100418,December 01-31 2019,5958.975,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100237,December 01-31 2019,277.658333,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13101104,December 01-31 2019,277.658333,2,for the month of December 01-31 2019
S340,SP,OPS,C000000011,S000000017, , ,,13100095,December 01-31 2019,277.658333,2,for the month of December 01-31 2019
