branch,division,dept,category,subcat,displaya,buyerid,supplier_code,period,amount,paymentid,remarks
S322,SP,OPS,C000000011,S000000017, , ,13100008,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100062,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100072,April 01-30 2016,466,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100190,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100191,April 01-30 2016,2330,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100337,April 01-30 2016,932,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100340,April 01-30 2016,3728,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100370,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100728,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100748,April 01-30 2016,699,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100856,April 01-30 2016,2796,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100919,April 01-30 2016,1864,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100999,April 01-30 2016,932,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13101054,April 01-30 2016,932,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13101060,April 01-30 2016,932,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13300051,April 01-30 2016,2330,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13300143,April 01-30 2016,1165,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13300309,April 01-30 2016,1398,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13300510,April 01-30 2016,932,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100755,April 01-30 2016,627.158333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100976,April 01-30 2016,627.158333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100264,April 01-30 2016,627.158333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100204,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100407,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13100731,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13101078,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13101079,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
S322,SP,OPS,C000000011,S000000017, , ,13101081,April 01-30 2016,475.708333,2,for the month of April 01-30 2016
